class,alternative_terms,comments,definitions,editor_notes,has_broad_synonyms,has_exact_synonyms,has_narrow_synonyms,has_related_synonyms,hasSynonyms,in_subsets,labels,superclasses
ENVO_00000017,,,A geographical feature associated with water with a halinity above 30 ppt (roughly 35 g/L).,,,,,,,,saline hydrographic feature,ENVO_00000012
ENVO_00000019,,,A lake whose water contains a considerable concentration of dissolved salts.,,,salt lake,,"salina, soda lake",,,saline lake,"ENVO_01001319, ENVO_00000020"
ENVO_00000020,,,A body of water or other liquid of considerable size contained in a depression on a landmass.,,,,"open water, catch basin, tarn","broad, llyn, loch, lochan, lough, mere, mortlake, pasteuer lake",,envoPolar,lake,ENVO_01000617
ENVO_00000021,,,A lake of whose water contains low concentrations of salts.,,,FreshwaterLake,,,,envoPolar,freshwater lake,"ENVO_00000020, ENVO_01001320"
ENVO_00000022,,"""There are no official definitions for the generic term river as applied to geographic features, although in some countries or communities a stream is defined by its size. Many names for small rivers are specific to geographic location; examples are ""run"" in some parts of the United States, ""burn"" in Scotland and northeast England, and ""beck"" in northern England. Sometimes a river is defined as being larger than a creek, but not always: the language is vague.""","A stream which, through permanent or seasonal flow processes, moves from elevated land towards lower elevations through a definite channel and empties either into a sea, lake, or another river or ends on land as bed seepage and evapotranspiration exceed water supply.",,,rio,braided river,,,,river,ENVO_00000023
ENVO_00000023,,,A watercourse which is linear and flows across the solid portion of a planetary surface.,,watercourse,streams,"braided stream, fork (hydrographic, lode, millstream, stream bend, streamlet","Creek, beck, brook, burn (hydrographic), creek, rivulet",,,stream,ENVO_00000029
ENVO_00000025,,,"An artificial body of water, often contained by a dam, constructed for the purpose of water storage.",,lake,,covered reservoir,,,,reservoir,ENVO_00000377
ENVO_00000026,,,"A cylindrical hole, pit, or tunnel drilled or dug down to a depth from which water, oil, or gas can be pumped or brought to the surface.",,,,,,,,well,ENVO_00000002
ENVO_00000027,,Springs are typically where an aquifer surface meets the ground surface or where there is a fissure.,A surface landform which provides an egress for groundwater or steam to flow out of the ground.,,,,,seep,,,spring,ENVO_01001884
ENVO_00000028,,,A quarry from which sand is extracted.,,,,,sand pit,,,sand pit quarry,ENVO_00000284
ENVO_00000029,,,A flowing body of water.,,,,"lode, rivulet, stream, culvert, dredged channel, fork, gulch, gully, gut, gutter, kill, narrows, overflow channel, passage, pup, race, ravine, reach, rill, run, runnel, seachannel, seaway, spillway, tideway, wash, water gap","beck, brook, narrows, awawa, barranca, branch, course, draw, moat, narrows (hydrographic)",,,watercourse,ENVO_01000618
ENVO_00000030,,,A cave without streams or drips of water.,,,dry cave,,,,,dead cave,ENVO_00000067
ENVO_00000031,,The temporality of wadis is problematic in deciding whether they are watercourses or valleys.,"A valley or ravine, bounded by relatively steep banks, which in the rainy season becomes a watercourse.",,,wadis,"wadi bend, wadi junction, wadi mouth","gully, wash, arroyo, coulee, nullah",,,wadi,ENVO_00000100
ENVO_00000032,,,An area of water bordered by land on three sides.,,,,,"bahia, embayment, firth, inlet, sea loch, sea lough",,,bay,ENVO_00000137
ENVO_00000033,,,"A body of water, usually of smaller size than a lake.",,lake,Pond,pool (water body),"pool (water body), POOL, millpond, pond, ponds, pool",,,pond,ENVO_01000617
ENVO_00000034,,,"An area of broken, fast flowing water in a stream, where the slope of the bed increases (but without a prominent break of slope which might result in a waterfall), or where a gently dipping bar of harder rock outcrops.",,,,,"cataract, torrent",,,rapids,ENVO_01001308
ENVO_00000035,,,"A wetland ecosystem which includes communities of grasses, rushes, reeds, typhas, sedges, and other herbaceous plants (possibly with low-growing woody plants).",,wetland,,,"Marsh, marsh, quagmire",,,marsh,ENVO_01001209
ENVO_00000036,,,Artificial watercourse with no flow or a controlled flow used irrigation.,,canal,,,,,,irrigation canal,ENVO_00000014
ENVO_00000037,,,"A small, human-made channel which has been dug for draining or irrigating the land.",,,,,,,,ditch,ENVO_00000121
ENVO_00000038,,,"A sheet of saline water separated from the open sea by sand or shingle banks. The sheet of water between an offshore reef, especially of coral and mainland. The sheet of water within a ring or horseshoe shaped atoll.",,,"lagoons, laguna",,barrier lagoon,,,lagoon,ENVO_01000325
ENVO_00000039,,,A long and narrow sea inlet with high steeply sloped walled sides. A fjord is a landform created during a period of glaciation.,,,,,,,envoPolar,fjord,ENVO_00000137
ENVO_00000040,,Should this be a hydroform?,A sudden descent of water over a step or ledge in the bed of a river.,,,"WATERFALL, force, linn, waterfalls",,"cataract, cascade, fall, falls",,,waterfall,"ENVO_01000618, ENVO_01001308"
ENVO_00000041,,,"A tidal water channel. Creeks may often dry to a muddy channel with little or no flow at low tide, but often with significant depth of water at high tide.",,stream,,,,,,tidal creek,ENVO_00000412
ENVO_00000042,,,Artificial watercourse with no flow or a controlled flow used drainage.,,canal,,,,,,drainage canal,ENVO_00000014
ENVO_00000043,,,An vegetated area which overlaps a wetland ecosystem.,,,,,WetlandRegion,,,wetland area,ENVO_01001305
ENVO_00000044,,,"A wetland ecosystem which accumulates acidic peat, a deposit of dead plant material.",,wetland,,,"Peatland, bog, mire, morass, muskeg, peat bog",,envoPolar,peatland,ENVO_01001209
ENVO_00000045,,,"A semi-enclosed coastal body of water with one or more rivers or streams flowing into it, and with a free connection to the open sea.",,mouth,,,inlet,,,estuary,ENVO_00000063
ENVO_00000046,,,A dense growth of shrubbery planted as a fence or boundary.,,,"HEDGE, hedgerow",,shelter belt,,,hedge,ENVO_00000002
ENVO_00000048,,,Artificial watercourse with no flow or a controlled flow used navigation.,,,,navigation canal,"navigation channel, ship cannal",,,navigation canal,ENVO_00000014
ENVO_00000050,,,"A hot spring that erupts periodically, ejecting a column of hot water and steam into the air.",,thermal feature,,,,,,geyser,ENVO_00000051
ENVO_00000051,,,"A spring through which groundwater, heated by geothermal energy, flows.",,spring,"hotspring, thermal spring",,,,http://purl.obolibrary.org/obo/envo#EnvO-Lite-GSC,hot spring,ENVO_00000027
ENVO_00000052,,,A lake contained within a volcanic crater.,,,,,,,,volcanic crater lake,ENVO_01001062
ENVO_00000053,,,A marsh in which soils are saturated with water that contains low concentrations of salts.,,,,,,,,freshwater marsh,ENVO_00000035
ENVO_00000054,,It would be more correct to say that this has_quality salty or has_part ((soil and water) and has_increased_levels_of salt.,A marsh whose water contains a considerable quantity of dissolved salts.,,wetland,salt marsh,salting,"salt marsh, tidal marsh",,,saline marsh,ENVO_00000035
ENVO_00000055,,"In such ponds, water is drawn out of seawater through natural evaporation which allows the salt to be subsequently harvested.","A pond which is 1) shallow, 2) man-made, and 3) designed to produce salt from seawater through evaporation.",,lake,salt evaporation pond,,"salt pond, salt ponds, saltern",,,saline evaporation pond,ENVO_00000033
ENVO_00000056,,,A pond or lake used for the artificial culture of fish.,,,,,,,,fishpond,ENVO_01000617
ENVO_00000057,,,A swamp which is located in tropical or subtropical environments and is determined by communities of trees and shrubs growing saline coastal environments.,,woodland,mangal,,MangroveForest,,,mangrove swamp,ENVO_00000230
ENVO_00000058,,,A lake which is formed under the surface of the Earth. Such a lake may be associated with caves and aquifers and springs.,,,,,,,envoPolar,underground lake,"ENVO_00000020, ENVO_00000061"
ENVO_00000059,,,A river that is under the surface of the Earth.,,,,,,,,underground river,"ENVO_00000022, ENVO_00000060"
ENVO_00000060,,,A stream that is under the surface of the Earth.,,,,,,,,underground stream,"ENVO_00000023, ENVO_00000061"
ENVO_00000061,,"This class should probably be replaced with a quality-like entity ""underground"" which can then be distributed to the subclasses, solving the double inheritance.",A geographical feature associated with water that is under the surface of the earth.,,,,,,,,underground water body,ENVO_00000063
ENVO_00000062,,,Place or area with clustered or scattered buildings and a permanent human population.,,place,"populated places, settlement",,"inhabited region, populated locality",,,populated place,ENVO_01000408
ENVO_00000063,,"The term body of water most often refers to large accumulations of water, such as oceans, seas, and lakes, but it includes smaller pools of water such as ponds, wetlands, or more rarely, puddles. A body of water does not have to be still or contained; Rivers, streams, canals, and other geographical features where water moves from one place to another are also considered bodies of water.",An accumulation of water of varying size.,,hydrographic feature,"aquatic feature, bodies of water, body of water, waterbody",,,,,water body,ENVO_01000685
ENVO_00000064,,,"An open way for the passage of vehicles, persons, or animals on land.",,,,"board walk, caravan route, causeway, drive, highway, intersection, parkway, road bend, road junction, traffic circle","accessway, alley, avenue, boulevard, cart track, drove, farm lane, freeway, lane, roadway, street, thorofare, thoroughfare, thruway, turnpike",,,road,ENVO_01001272
ENVO_00000065,,,A permanent way having one or more rails which provides a track for cars.,,railroad feature,"RAILWAY, railroad",,,,,railway,ENVO_00000010
ENVO_00000066,,,A tunnel constructed by human means.,,"tunnel, tunnels",,"canal tunnel, railroad tunnel, road tunnel, underpass",,,,man-made tunnel,ENVO_00000068
ENVO_00000067,,,"Naturally formed, subterranean open area or chamber.",,,,,"cavern, grotto, notch",,,cave,ENVO_01001884
ENVO_00000068,,,An underground or underwater passage.,,,TUNNEL,,"cave, natural tunnel",,,tunnel,ENVO_03000117
ENVO_00000069,,,A stream that branches off and flows away from a main stream channel. They are a common feature of river deltas.,,"watercourse, stream",,stream distributary,,,,distributary,ENVO_00000023
ENVO_00000070,,,A construction that has been assembled by deliberate human effort.,"""constructed"" should probably be made something like a quality and this class obsoleted or filled only by inference",,constructed feature,,,,,human construction,"ENVO_01000813, ENVO_01001813"
ENVO_00000071,,,"A cave developed along a fault or fault zone, either by movement of the fault or by preferential solution along it.",,,,,,,,fault cave,ENVO_00000067
ENVO_00000072,,,"Structure designed to transport water from a remote source, usually by gravity.",,,aqueduct,,WATERCOURSE BRIDGE,,,aquaduct,ENVO_00000014
ENVO_00000073,,,A permanent walled and roofed construction.,,,,,,,,building,ENVO_00000070
ENVO_00000074,,,A barrier constructed across a watercourse to control the flow or raise the level of water.,,,,,"barrage, dam site",,,dam,ENVO_01000467
ENVO_00000075,,,A built structure erected over a depression or obstacle to carry traffic or some facility such as a pipeline.,,,,"covered bridge, footbridge, overpass",,,,bridge,ENVO_00000010
ENVO_00000076,,,An excavation in the Earth for the purpose of extracting earth materials.,,,,,,,,mine,ENVO_00000070
ENVO_00000077,,"As with other classes that are ""features"", the subclasses of this class are being moved to more informative locations. Their relation to agriculture will be modelled by something more akin to a quality or relation to an agricultural process.",,,,,"barn, cattle dipping tank, corral, dairy, feedlot, grange, grazing allotment, irrigated field, nursery, pastoral site, sheepfold, stockyard","AgriculturalLands, agricultural colony, agricultural facility, agricultural land, agricultural reserve, agricultural site",,,agricultural ecosystem,ENVO_01001828
ENVO_00000078,,,"An area of land which is used for the cultivation of crops or grazing of livestock, including any agricultural constructions therein.",,agricultural site,FARM,,"farm, farms, farmstead, ranch",,,farm,ENVO_00000077
ENVO_00000079,,,"An open artificial water channel, that leads water from a diversion dam or weir completely aside a natural flow, often an elevated box structure (typically wood) that follows the natural contours of the land.",,watercourse,flume (manmade),,canal,,,flume,ENVO_00000014
ENVO_00000080,,,A range of mounts which is dominated by mountains.,,,,,"cordillera, mountain chain, mountain group, sierra",,envoPolar,mountain range,ENVO_00000478
ENVO_00000081,,"A mountain is generally steeper than a hill, but there is no universally accepted standard definition for the height of a mountain or a hill although a mountain usually has an identifiable summit. The USGS had previously defined mountains as localised elevations of more than 300 meters; however, the organisation has accepted there are no technical definitions in the US. In ENVO, we primarily use the UNEP-WCMC classification to be compliant with SDG monitoring, but we can host other classifications on request: http://www.fao.org/sustainable-development-goals/indicators/1542/en/",A landform that extends above the surrounding terrain in a limited area.,,,Mountain,,mountains,,envoPolar,mountain,ENVO_00000477
ENVO_00000082,,,A range of mounts which is dominated by hills.,,,,,,,,hill range,ENVO_00000478
ENVO_00000083,,,A rounded elevation of limited extent rising above the surrounding land with local relief of less than 300m.,,,,,"mountain, cerro, foothill, hill, hillock, hills, knoll, mount",,,hill,ENVO_00000477
ENVO_00000084,,,A lower point that allows easier access through a mountain range. A pass has the general form of a saddle between two mountains.,,,pass,,"notch, pass, col, defile, gap, saddle, saddle (physiographic), sill (physiographic)",,envoPolar,mountain pass,ENVO_01001884
ENVO_00000086,,,"A region of general uniform slope, comparatively level, and of considerable extent.",,,,,"interfluve, llanos, outwash plain",,,plain,ENVO_01001884
ENVO_00000087,,,A slope which is part of a rocky elevation and which has a high degree of steepness.,,,,,"beach scarp, bluff, ceja, ice cliff, palisade, precipice, scar, scarp, scaw, scraps",,,cliff,ENVO_00002000
ENVO_00000088,,,A cliff that is a margin of a sea or ocean.,,,,,"coastal cliff, marine cliff",,envoPolar,sea cliff,ENVO_00000087
ENVO_00000089,,,A cliff which is not adjacent to a major water body.,,,,,crag,,,inland cliff,ENVO_00000087
ENVO_00000090,,,"An area of flat, low-lying land adjacent to a coast and separated from the interior by other features.",,,,,,,,coastal plain,ENVO_00000086
ENVO_00000091,,,"A landform consisting of loose rock particles such as sand, gravel, shingle, pebbles, cobble, or even shell fragments along the shoreline of a body of water.",,,Beach,"beach berm, lagoon beach","beach, beaches, foreshore flats, rivage, strand",,,beach,ENVO_01001884
ENVO_00000092,,,A beach which is part of a sea shore.,,,strand,,,,,sea beach,ENVO_00000091
ENVO_00000093,,,A beach which is part of a lake shore.,,,,,,,,lacustrine beach,ENVO_00000091
ENVO_00000094,,,"A part of an astronomical body associated with a volcano - an opening, or rupture, in that body's surface or crust - which allows hot, molten rock, ash and gases to escape from deep below the surface.",,,,,volcanic landform,,,volcanic feature,ENVO_01001884
ENVO_00000096,,,A feature formed by the collapse of land following a volcanic eruption.,,,,,crater,,,caldera,ENVO_00000514
ENVO_00000097,,,"A region rendered barren or partially barren by environmental extremes, especially by low rainfall.",,,,,arid region,,envoPolar,desert area,ENVO_01000752
ENVO_00000098,,,Area of dry or relatively dry land surrounded by water or low wetland.,,,,,"eyot, holm, hummock, isle, islet",,envoPolar,island,ENVO_01000635
ENVO_00000099,,,An island constructed by human effort.,,,,,offshore platform,,,artificial island,ENVO_00000098
ENVO_00000100,,Valleys are typically located between hills our mountains.,"A depression which has been formed as a result of erosion by water or ice and which is low-lying, bordered by higher ground, and especially elongate.",,,,"gulch, gully, coulee, chasm, dale, glacial gorge, glacial trough, median valley, shelf valley","ravine, seachannel, water gap, moat, glen, goe, gorge, graben, hollow, lavaka, re-entrant, strath, trench, vale",,,valley,ENVO_03000015
ENVO_00000101,,,"A tract of alluvium formed at the mouth of a river where the deposition ofsome of its load exceeds its rate of removal, crossed by the divergent channels (distributaries) of the river.",,,,,"outwash plain, alluvial fan, bay delta, canyon delta, fan, fan delta, outwash, pass (delta)",,,delta,ENVO_00000386
ENVO_00000103,,,An island formed of trees and shrubs that grow in saline coastal habitats in the tropics and subtropics.,,,,,,,,mangrove island,ENVO_00000098
ENVO_00000104,,,A hydrographic feature which is located below the surface of a marine water body.,,,,"fork, gully, ravine, gap, saddle, plain, median valley, fan, basin, escarpment, flat, forks, furrow, hole, hole (seafloor), ledge, levee, moat (seafloor), pinnacle, plateau, platform, province, ramp, ramp (seafloor), ridge, ridges, rise, rise (seafloor), shelf edge, undersea bank, undersea basin, undersea bench, undersea cliff, undersea fan, undersea fork, undersea fracture zone, undersea furrow, undersea gap, undersea hole, undersea ledge, undersea levee, undersea median valley, undersea moat, undersea peak, undersea pinnacle, undersea plain, undersea platform, undersea ramp, undersea rise, undersea saddle, undersea shelf, undersea shelf edge, undersea shelf valley, undersea sill, undersea slope, undersea spur, undersea terrace, undersea tongue, undersea valley","valley, ocean floor feature, seafloor feature, sill, spur, subsea feature, terrace, tongue (seafloor), underwater feature, valleys",,,undersea feature,ENVO_00000012
ENVO_00000105,,,,,,,,,,,lake surface,"ENVO_01001309, ENVO_01001477, ENVO_01001483"
ENVO_00000106,,,An area in which grasses (Graminae) are a significant component of the vegetation.,,,,,"grazing area, herbaceous area",,,grassland area,ENVO_01001305
ENVO_00000107,,,An upland moor or sandy area dominated by low shrubby vegetation including heather.,,,,,wetland,,,heath,ENVO_01001305
ENVO_00000108,,"Typically, meadows have higher botanical biodiversity than other grasslands.","A grassland ecosystem which contains a variety of annual, biennial and perennial plants growing on rolling or flat terrain.",,,meadow,,hay meadow,,,meadow ecosystem,ENVO_01001206
ENVO_00000109,,,"Land having a cover of trees, shrubs, or both.",,,,"brigalow, pine grove","caatinga, chanaral, coniferous forest, copse, deciduous forest, equatorial forest, equatorial rain forest, garique, grove, jungle, mallee scrub, monsoon forest, moor, mott, motte, mulga, mulga scrub, rain forest, reforested area, sagebrush, scrub, shrub, silva, stand, taiga, thicket, thorn forest, wood, wooded area",,,woodland area,ENVO_01001305
ENVO_00000110,,"These are usually classified as a sub-type of volcanic cave, rather than a tunnel.","A tunnel formed by the flow of molten lava, which has subsequently drained out.",,,lava tube,,,,,lava tunnel,ENVO_00000322
ENVO_00000111,,"The definitions of forest can vary greatly, and different classes will be needed to support the major categories. Tree cover alone is not enough to distinguish between forests and plantations. The international definition proposed by the 2010 FAO Forestry Resource Assessment: ""land spanning more than 0.5 ha with trees higher than 5 metres and canopy cover of more than 10 percent, or trees able to reach these thresholds in situ . It does not include land that is predominantly under agricultural or urban land use."" - FAO.  2010. Global forest resources assessment 2010, Main report, FAO Forestry Paper 163. Rome.",An area with a high density of trees. A small forest may be called a wood.,,,,,"wood, forest",,,forested area,ENVO_00000109
ENVO_00000112,,,A vegetated area which is part of a tundra ecosystem.,,,,,"Arctic land, TundraEcosystem",,envoPolar,area of tundra,ENVO_01001305
ENVO_00000114,,,"A field which is located on land and used for agricultural purposes, such as the grazing of livestock or the cultivation of crops.",,agricultural site,,,"cropland, grassland",,,agricultural field,ENVO_01000352
ENVO_00000115,,,"An intentional planting of trees or shrubs maintained for food, typically fruit, production.",,"cropland, agricultural site",,,,,,orchard,ENVO_00000117
ENVO_00000116,,,"A place where grapes are grown for making wine, raisins or table grapes.",,"cropland, agricultural site",vineyards,,,,,vineyard,ENVO_00000117
ENVO_00000117,,,"An intentional planting of a crop, on a large scale, usually for uses other than cereal production or pasture. The term is currently most often used for plantings of trees and shrubs. The term tends also to be used for plantings maintained on economic bases other than that of subsistence farming.",,,,,"cropland, agricultural site, plantation field",,,plantation,"ENVO_01000813, ENVO_00000078"
ENVO_00000118,,,,,,,,"wood, coconut grove",,,coconut plantation,ENVO_00000117
ENVO_00000119,,,A forest that has been intentionally established by human intervention.,,,,,,,,planted forest,ENVO_01001243
ENVO_00000120,,,,,agricultural site,,,palm grove,,,oil palm plantation,ENVO_00000117
ENVO_00000121,,,A channel of a watercource which has been constructed by humans or their technologies.,,,,,"flume, improved channel",,,artificial channel,"ENVO_00000070, ENVO_00000395"
ENVO_00000122,,,"A small road, generally not paved.",,,,,"footpath, path, trail",,,track,ENVO_00000064
ENVO_00000123,,,A geographical region whose affairs and population are administered by an authority.,,,,,political entity,,,political entity,BFO_0000024
ENVO_00000124,,,A political entitity established by more than one state and with at least some influence over the affairs of its member states.,,,,,,,,supranational geopolitical entity,ENVO_00000123
ENVO_00000125,,,"A spring which  water contains a significant amount of dissolved minerals, that derive from the rocks through which the water flows.",,"spring, spring (hydrographic)",,,,,,mineral spring,ENVO_00000027
ENVO_00000126,,,A spring through which water with elevated levels of dissolved derivatives of sulfur flows.,,spring (hydrographic),sulphur spring,,,,,sulfur spring,ENVO_00000125
ENVO_00000127,,,An arid terrain with clay-rich soil that has been extensively eroded by wind and water.,,barren land,badlands,,,,,badland,ENVO_01001884
ENVO_00000128,,Typically found in either Karst (limestone) or chalk terrain.,A valley which no longer has water flowing or accumulating over its surface.,,,,,,,,dry valley,ENVO_00000100
ENVO_00000129,,,"A valley that contains, and has been formed by, a stream.",,,,,"ravine, gullie",,,stream valley,ENVO_00000100
ENVO_00000130,,,"A ridge of rocks, lying near the surface of the sea, which may be visible at low tide, but is usually covered by water.",,,REEF,"atoll reef, bank reef, barrier reef, fringing reef, shore reef, submerged reef","ledge, reef, reef flat, reefs",,,rocky reef,ENVO_01001899
ENVO_00000135,,,"A geographical region that serves the purpose of keeping two or more other areas (often, but not necessarily, countries) distant from one another, for whatever reason.",,,,,administrative area,,,buffer zone,ENVO_00000004
ENVO_00000136,,,"A geographical area, usually the frontier or boundary between two or more military powers (or alliances), where military activity is not permitted, usually by peace treaty, armistice or other bilateral or multilateral agreement.",,adminstrative area,"DEMILITIARIZED ZONE, DMZ, neutral zone",,boundary,,,demilitarized zone,ENVO_00000135
ENVO_00000137,,,An opening of the sea into the land.,,,,,coastal inlet,,envoPolar,coastal inlet,ENVO_00000475
ENVO_00000138,,,A circular or round inlet with a narrow entrance.,,,,,,,,cove,ENVO_00000137
ENVO_00000139,,,A ditch that supplies water to surrounding land.,,canal,,,,,,irrigation ditch,ENVO_00000037
ENVO_00000140,,,A ditch that collects water from the surrounding land.,,,,,"canal, rhyne",,,drainage ditch,ENVO_00000037
ENVO_00000141,,,"The sloping margin of a watercourse, serving to confine it to its natural channel.",,mount,,,shore,,,bank,ENVO_00002000
ENVO_00000142,,,"The sloping margin of a stream, serving to confine it to its natural channel.",,,,,bank (hydrographic),,,stream bank,ENVO_00000141
ENVO_00000143,,,"The sloping margin of a river, serving to confine it to its natural channel.",,,riverbank,,,,,river bank,ENVO_00000142
ENVO_00000145,,,"A dome-shaped ice mass that covers less than 50,000 km2 of land area (usually covering a highland area).",,,icecap,,ice field,,envoPolar,ice cap,ENVO_01001547
ENVO_00000146,,,A region of permanent snow in mountainous areas or high latitudes.,,,"SNOWFIELD, snowfield",,"snowfield, SnowField",,envoPolar,snow field,ENVO_01000352
ENVO_00000147,,Subclasses of this class are to be populated by inference. Definition modified from http://en.wikipedia.org/wiki/Ocean_current.,"The region occupied by any more or less continuous, directed movement of ocean water that flows in one of the Earth's oceans. Ocean Currents are rivers of hot or cold water within the ocean. The currents are generated from the forces acting upon the water like the earth's rotation, the wind, the temperature and salinity differences and the gravitation of the moon. The depth contours, the shoreline and other movements influence the direction and strength of the movements of water that forms a given current.",,current,,,,,,ocean current,ENVO_01000067
ENVO_00000148,,,"A shallow stretch of a river or stream, where the current is above the average stream velocity and where the water forms small rippled waves as a result. It often consists of a rocky bed of gravels or other small stones.",,,,,,,,riffle,ENVO_01001784
ENVO_00000149,,,Chains of rocks or coral at or near the surface of water constructed by man.,,,,,,,,artificial reef,ENVO_01001899
ENVO_00000150,,,"A marine reef which is composed primarily of aragonite structures produced by living organisms, found in shallow, low-nutrient waters.",,,CoralReef,,"barrier reef, fringing reef, reef",,,coral reef,ENVO_01000143
ENVO_00000151,,,"An alkaline flat, in the context of a marine environment.",,basin,,,flat,,,sabkha,ENVO_00000196
ENVO_00000152,,,A section of a river or stream that diverts from the main course and rejoins later.,,watercourse,,,stream,,,anabranch,ENVO_00000023
ENVO_00000153,,,"The upper part of a river system, denoting the upper basin and source streams of a river.",,stream,"HEADWATER, headwaters",,"drainage basin, headstream, source",,,headwater,ENVO_01001784
ENVO_00000154,,,"An area of grassland or pasture beside a river, subject to seasonal flooding.",,,,,water meadow,,,flood meadow ecosystem,ENVO_01000449
ENVO_00000155,,,"A depression which is semicircular or crescent-shaped, found towards the crest of a mountain, and formed by the erosional processes caused by the motion of a glacier.",,,"cirque basin, cirques, coomb, coombe, corrie, cwm",,,,envoPolar,cirque,ENVO_00000248
ENVO_00000156,,,"A small, isolated, fertile or green area in a desert region, usually having a spring or well.",,,,,,,,desert oasis,ENVO_01001304
ENVO_00000157,,,An artificial working of peatland to remove the peat.,,wetland,peat cutting,,peat cutting area,,,peat cut,ENVO_01001884
ENVO_00000158,,,"A road or railway elevated by a bank, usually across a broad body of water or wetland.",,,,,"causeway, road",,,causeway,ENVO_00000010
ENVO_00000159,,,,,agricultural site,,,,,,sugar plantation,ENVO_00000117
ENVO_00000160,,,,,agricultural site,,,,,,sisal plantation,ENVO_00000117
ENVO_00000161,,,,,agricultural site,,,,,,banana plantation,ENVO_00000117
ENVO_00000162,,,,,agricultural site,tea estate,,,,,tea plantation,ENVO_00000117
ENVO_00000163,,,,,,,,,,,coffee plantation,ENVO_00000117
ENVO_00000164,,,A plantation which is used to grow Hevea brasiliensis or other species from which natural latex is harvested.,,agricultural site,,,,,,rubber plantation,ENVO_00000117
ENVO_00000165,,,"A lake formed of a natural deposit of alphalt, a black, highly viscous liquid or semi-solid composed of fossil hydrocarbons.",,basin,tar pit,,,,,asphalt lake,ENVO_00000020
ENVO_00000166,,,"An oceanic island, often having a characteristic ring-like shape surrounding a lagoon. Atolls are formed when coral reef grows around a volcanic island that later subsides into the ocean.",,island,coral atoll,,"reef, REEF, ISLAND, atoll",,,atoll,ENVO_00000222
