class,labels,alternative_terms,comments,definitions,editor_notes,has_broad_synonyms,has_exact_synonyms,has_narrow_synonyms,has_related_synonyms,hasSynonyms,in_subsets,superclasses,determined by,formed as result of,has quality,http://www.w3.org/2000/01/rdf-schema#subClassOf,overlaps,part of
ENVO_01000027,marine abyssal zone biome,,,The marine abyssal zone biome comprises regions of the marine benthic biome  between approximately 2500 m and 6000 m depth. This zone generally coincides with the continental rise and the abyssal plain.,,,,,,,,ENVO_01000024,marine water body,,,aquatic biome|marine environment|marine benthic biome|marine biome|marine abyssal zone biome|aquatic ecosystem|marine ecosystem,marine water body,marine water body
ENVO_01000028,marine hadal zone biome,,,The marine hadal zone biome describes sea floor deeper than 6000 m such as that of the oceanic trenches.,,,,,,,,ENVO_01000024,marine water body,,,aquatic biome|marine environment|marine benthic biome|marine biome|marine hadal zone biome|aquatic ecosystem|marine ecosystem,marine water body,marine water body
ENVO_01000029,marine reef biome,,,"A biome expressed by strips or ridges of rocks, sand, or coral that rises to or near the surface of a body of marine water.",,,,,,,,ENVO_01000024,marine reef|marine water body|reef,,,aquatic biome|marine environment|marine benthic biome|marine reef biome|marine biome|aquatic ecosystem|marine ecosystem,marine water body|marine reef|reef,marine water body|marine reef|reef
ENVO_01000030,marine hydrothermal vent biome,,,"The marine hydrothermal vent biome comprises regions of the marine benthic biome where heat generated due to tectonic activity, either at divergent plate boundaries or convergent ocean plates where back-arc spreading occurs, is released or 'vented' to the surface. The resultant high temperature water jets are laden with dissolved metals and minerals.",,,,,,,,ENVO_01000024,marine water body,,,aquatic biome|marine environment|marine benthic biome|marine hydrothermal vent biome|marine biome|aquatic ecosystem|marine ecosystem,marine water body,marine water body
ENVO_01000032,neritic pelagic zone biome,,,The neritic epipelagic zone biome comprises the marine water column above a continental shelf.,,,,,,,,ENVO_01000023,marine water body,,,aquatic biome|marine environment|neritic pelagic zone biome|marine biome|marine pelagic biome|aquatic ecosystem|marine ecosystem,liquid water|marine water body|liquid environmental material,marine water body
ENVO_01000033,oceanic pelagic zone biome,,,"The oceanic epipelagic zone biome comprises the marine water column offshore, beyond a continental shelf.",,,,,,,,ENVO_01000023,marine water body,,,aquatic biome|marine environment|oceanic pelagic zone biome|marine biome|marine pelagic biome|aquatic ecosystem|marine ecosystem,liquid water|marine water body|liquid environmental material,marine water body
ENVO_01000034,oceanic sea surface microlayer biome,,,"The oceanic sea surface microlayer (SML) biome comprises the top 1000 micrometers of the marine surface waters occurring offshore, away from a continental shelf. It is the boundary layer where all exchange occurs between the atmosphere and the ocean. The chemical, physical, and biological properties of the SML differ greatly from the sub-surface water just a few centimeters beneath.",,,,,,,,ENVO_01000033,marine water body,,,aquatic biome|marine environment|aquatic ecosystem|oceanic pelagic zone biome|oceanic sea surface microlayer biome|marine biome|marine pelagic biome|marine ecosystem,liquid water|marine water body|liquid environmental material,marine water body
ENVO_01000035,oceanic epipelagic zone biome,,,"The oceanic epipelagic zone biome comprises regions of the marine water column that occur offshore, beyond a continental shelf. This biome extends from the surface of the ocean to a depth of ca. 200-250m. Throughout the zone the light field tends to be asymmetrical vertically, so that the direction and elevation of the sun can still be detected. The oceanic epipelagic zone biome encompasses the euphotic zone and, where and when it occurs, the seasonal thermocline.",,,,,,,,ENVO_01000033,marine water body,,,aquatic biome|marine environment|aquatic ecosystem|oceanic pelagic zone biome|oceanic epipelagic zone biome|marine biome|marine pelagic biome|marine ecosystem,liquid water|marine water body|liquid environmental material,marine water body
ENVO_01000036,oceanic mesopelagic zone biome,,,"The oceanic mesopelagic zone biome comprises regions of the marine water column that occur offshore, beyond a continental shelf. This biome extends through the water column from approximately 200-1000 m depth - the maximal depth of light penetration in all but the clearest oligotrophic ocean regions. In comparison to the epipelagic zone, dominant forms of pelagic organisms do not change very much; however, there are marked changes in species composition and the proportion of smaller-sized individuals decreases.",,,,,,,,ENVO_01000033,marine water body,,,aquatic biome|marine environment|aquatic ecosystem|oceanic pelagic zone biome|oceanic mesopelagic zone biome|marine biome|marine pelagic biome|marine ecosystem,liquid water|marine water body|liquid environmental material,marine water body
ENVO_01000037,oceanic bathypelagic zone biome,,,"The bathypelagic zone biome comprises the marine water column below approximately 1000 m water depth - the maximum depth to which detectable daylight penetrates in all but the clearest oligotrophic waters - and extends to about 2500 - 2700 m water depth. In the temperate Atlantic, the beginning of the bathypelagic zone biome approximates to the deep oxygen minimum and the base of the permanent thermocline.",,,,,,,,ENVO_01000033,marine water body,,,aquatic biome|marine environment|aquatic ecosystem|oceanic pelagic zone biome|oceanic bathypelagic zone biome|marine biome|marine pelagic biome|marine ecosystem,liquid water|marine water body|liquid environmental material,marine water body
ENVO_01000038,oceanic abyssopelagic zone biome,,,The abyssopelagic zone biome comprises the marine water column below the bathypelagic zone biome at approximately 2500 -2700 m and extends either to the hadal pelagic zone biome (at approximately 6000 m) or to the benthopelagic zone biome within ca. 100 m of the seafloor. The depth of 2700 m may be critical for physiological reasons as the change in hydrostatic pressure across this depth may preclude organism migration.,,,,,,,,ENVO_01000033,marine water body,,,aquatic biome|marine environment|aquatic ecosystem|oceanic pelagic zone biome|oceanic abyssopelagic zone biome|marine biome|marine pelagic biome|marine ecosystem,liquid water|marine water body|liquid environmental material,marine water body
ENVO_01000039,oceanic hadal pelagic zone biome,,,"The oceanic hadal pelagic zone biome comprises the water column in oceanic trenches occurring at depths between 6000m and 10,000m.",,,,,,,,ENVO_01000033,marine water body,,,aquatic biome|marine environment|aquatic ecosystem|oceanic pelagic zone biome|oceanic hadal pelagic zone biome|marine biome|marine pelagic biome|marine ecosystem,liquid water|marine water body|liquid environmental material,marine water body
ENVO_01000040,oceanic benthopelagic zone biome,,,"The benthopelagic zone biome comprises regions of the marine water column which usually coincide with the benthic boundary layer (BBL) - the layer of isothermal and isohaline water contiguous to the sea floor. A general reversal in the declining gradient of pelagic biomass may be observed here, perhaps explained by viable nutrition on the sea floor being resuspended by bottom currents. This zone typically extends 100 m above the seafloor, but may reach upto1000 m during benthic storms.",,,,,,,,ENVO_01000033,marine water body,,,aquatic biome|marine environment|aquatic ecosystem|oceanic pelagic zone biome|oceanic benthopelagic zone biome|marine biome|marine pelagic biome|marine ecosystem,liquid water|marine water body|liquid environmental material,marine water body
ENVO_01000041,neritic sea surface microlayer biome,,,"The neritic sea surface microlayer (SML) biome comprises the top 1000 micrometers of marine surface waters occurring above a continental shelf. It is the boundary layer where all exchange occurs between the atmosphere and the ocean. The chemical, physical, and biological properties of the SML differ greatly from the sub-surface water just a few centimeters beneath.",,,,,,,,ENVO_01000032,marine water body,,,aquatic biome|marine environment|aquatic ecosystem|neritic pelagic zone biome|neritic sea surface microlayer biome|marine biome|marine pelagic biome|marine ecosystem,liquid water|marine water body|liquid environmental material,marine water body
ENVO_01000042,neritic epipelagic zone biome,,,"The neritic epipelagic zone biome comprises the marine water column that occurs above a continental shelf and extends from the surface of the ocean to a depth of ca. 200-250m. Throughout the zone the light field tends to be asymmetrical vertically, so that the direction and elevation of the sun can still be detected. The epipelagic zone encompasses the euphotic zone and, where and when it occurs, the seasonal thermocline.",,,,,,,,ENVO_01000032,marine water body,,,aquatic biome|marine environment|aquatic ecosystem|neritic pelagic zone biome|neritic epipelagic zone biome|marine biome|marine pelagic biome|marine ecosystem,liquid water|marine water body|liquid environmental material,marine water body
ENVO_01000043,neritic mesopelagic zone biome,,,"The neritic mesopelagic zone biome comprises the marine column that occurs above a continental shelf and extends from approximately 200 to 1000 m depth - the maximal depth of light penetration in all but the clearest oligotrophic ocean regions. In comparison to the epipelagic zone, dominant forms of pelagic organisms do not change very much; however, there are marked changes in species composition and the proportion of smaller-sized individuals decreases.",,,,,,,,ENVO_01000032,marine water body,,,aquatic biome|marine environment|aquatic ecosystem|neritic pelagic zone biome|neritic mesopelagic zone biome|marine biome|marine pelagic biome|marine ecosystem,liquid water|marine water body|liquid environmental material,marine water body
ENVO_01000045,epeiric sea biome,,,"The epeiric sea (also known as an epicontinental sea) biome comprises a shallow seas that extend over part of a continent. Epeiric seas are usually associated with the marine transgressions of the geologic  past, which have variously been due to either global eustatic sea level changes, local tectonic deformation, or both, and are occasionally semi-cyclic.",,,epicontinental sea biome,,,,,ENVO_00000447,marine water body,,,aquatic biome|marine environment|marine biome|epeiric sea biome|aquatic ecosystem|marine ecosystem,marine water body,marine water body
ENVO_01000046,marginal sea biome,,,"The marginal sea biome comprises parts of an ocean partially enclosed by land such as islands, archipelagos, or peninsulas. Unlike mediterranean seas, marginal seas have ocean currents caused by ocean winds. Many marginal seas are enclosed by island arcs that were formed from the subduction of one oceanic plate beneath another.",,,,,,,,ENVO_00000447,marine water body,,,aquatic biome|marine environment|marine biome|marginal sea biome|aquatic ecosystem|marine ecosystem,marine water body,marine water body
ENVO_01000047,mediterranean sea biome,,,The mediterranean sea biome comprises mostly enclosed seas that have limited exchange of deep water with outer oceans and where the water circulation is dominated by salinity and temperature differences rather than winds.,,,,,,,,ENVO_00000447; ENVO_01001833,marine water body,,subtropical|mediterranean,aquatic biome|marine environment|mediterranean sea biome|marine biome|subtropical environment|subtropical biome|mediterranean biome|aquatic ecosystem|marine ecosystem,marine water body,marine water body
ENVO_01000048,ocean biome,,"Ocean biomes are determined by major bodies of saline water, principal components of the hydrosphere. Approximately 71% of the Earth's surface is covered by ocean, a continuous body of water that is customarily divided into several principal oceans and smaller seas. More than half of this area is over 3,000 metres (9,800 ft) deep. Average oceanic salinity is around 35 parts per thousand (ppt) (3.5%), and nearly all seawater has a salinity in the range of 30 to 38 ppt.",A marine biome which is determined by an ocean.,,,,,,,envoPolar,ENVO_00000447,ocean|marine water body|saline water body,,,aquatic biome|marine environment|marine biome|ocean biome|aquatic ecosystem|marine ecosystem,marine water body|ocean|saline water body,ocean|marine water body|saline water body
ENVO_01000049,marine coral reef biome,,,"The marine coral reef biome comprises constructional wave-resistant entities which are primarily built by corals and are often cemented together. The growth of these structures is aided by zooxanthellae, algae that are symbiotic with the reef-building corals.",,,,,,,,ENVO_01000029,marine reef|marine water body|reef,,,aquatic biome|marine environment|aquatic ecosystem|marine reef biome|marine coral reef biome|marine biome|marine benthic biome|marine ecosystem,marine water body|marine reef|reef,marine water body|marine reef|reef
ENVO_01000050,marine subtidal rocky reef biome,,,"The marine rocky subtidal reef biome comprises regions of the marine reef biome composed mainly of rock and which harbour abundant communities of algae and invertebrates. These reefs are often very patchy, with alterations of rocks dominated by rich invertebrate assemblages and turf-forming calcareous red algae.",,,,,,,,ENVO_01000029,marine reef|marine water body|reef,,,aquatic biome|marine environment|aquatic ecosystem|marine reef biome|marine subtidal rocky reef biome|marine biome|marine benthic biome|marine ecosystem,marine water body|marine reef|reef,marine water body|marine reef|reef
ENVO_01000051,marine black smoker biome,,,A marine black smoker biome comprises regions of the marine hydrothermal vent biome characterised by a black vent plume. This black plume is a consequence of dissolved metals and minerals forming complexes with sulphide and indicates polymetallic sulphide mineral deposits beneath the surface.,,,,,,,,ENVO_01000030,marine water body,,,aquatic biome|marine environment|aquatic ecosystem|marine hydrothermal vent biome|marine black smoker biome|marine biome|marine benthic biome|marine ecosystem,marine water body,marine water body
ENVO_01000052,marine white smoker biome,,,"A marine white smoker biome comprises regions of the marine hydrothermal vent biome characterised by lightly hued plumes, typically containing barium, calcium, and silicon. These vents tend to have lower temperature plumes when compared to black smoker environments.",,,,,,,,ENVO_01000030,marine water body,,,aquatic biome|marine environment|aquatic ecosystem|marine hydrothermal vent biome|marine white smoker biome|marine biome|marine benthic biome|marine ecosystem,marine water body,marine water body
ENVO_01000053,marine ultramafic hydrothermal vent biome,,,"A marine ultramafic hydrothermal vent biome comprises regions of themarine  hydrothermal vent biome hosted on ultramafic (also referred to as ultrabasic) rocks. Ultramafic rocks are igneous and meta-igneous rocks with very low silica content (less than 45%), generally >18% MgO, high FeO, low potassium, and are composed of usually greater than 90% mafic minerals  (dark colored, high magnesium and iron content). The Earth's mantle is composed of ultramafic rocks.",,,,,,,,ENVO_01000030,marine water body,,,aquatic biome|marine environment|aquatic ecosystem|marine hydrothermal vent biome|marine biome|marine benthic biome|marine ultramafic hydrothermal vent biome|marine ecosystem,marine water body,marine water body
ENVO_01000054,marine basaltic hydrothermal vent biome,,,"A marine basaltic hydrothermal vent biome comprises regions of the marine hydrothermal vent biome hosted on basaltic rocks. Basalt generally has a composition of 45 to 55 wt % SiO2, 2 to 6 wt % total alkalis, 0.5 to 2.0 wt % TiO2, 5 to 14 wt % FeO and 14 wt % or more Al2O3. Contents of CaO are commonly near 10 wt %, those of MgO commonly in the range 5 to 12 wt %.",,,,,,,,ENVO_01000030,marine water body,,,aquatic biome|marine environment|aquatic ecosystem|marine hydrothermal vent biome|marine biome|marine benthic biome|marine basaltic hydrothermal vent biome|marine ecosystem,marine water body,marine water body
ENVO_01000123,marine sponge reef biome,,,"The marine sponge reef biome comprises marine reefs primarily built by marine sponges. The primary frame-building sponges are all members of the order Hexactinosa. They are found only in glacier-scoured troughs of low-angle continental shelf. The seafloor is stable and consists of rock, coarse gravel, and large boulders.",,,,,,,,ENVO_01000029,marine reef|marine water body|reef,,,aquatic biome|marine environment|aquatic ecosystem|marine reef biome|marine sponge reef biome|marine biome|marine benthic biome|marine ecosystem,marine water body|marine reef|reef,marine water body|marine reef|reef
ENVO_01000127,marine cold seep biome,,"The marine cold seep biome comprises regions of the marine benthic biome where seepage of methane, hydrogen sulphide, hydrocarbon rich fluids and other fluids occurs.",A marine benthic biome which is determined by a cold seep.,,,,,,,,ENVO_01000024,marine water body,,,aquatic biome|marine environment|aquatic ecosystem|marine cold seep biome|marine biome|marine benthic biome|marine ecosystem,marine water body|spring|seep|cold seep,marine water body
ENVO_01000128,dilution basin mediterranean sea biome,,,The dilution basin mediterranean sea biome comprises expressions of the mediterranean sea biome with lower salinity than the surrounding ocean due to freshwater gains such as rainfall and rivers. Water exchange consists of outflow of the fresher mediterranean water in the upper layer and inflow of the saltier oceanic water in the lower layer of the channel. Renewal of deep water may not be sufficient to supply oxygen to the bottom.,,,,,,,,ENVO_01000047,marine water body,,subtropical|mediterranean,aquatic biome|marine environment|aquatic ecosystem|mediterranean sea biome|dilution basin mediterranean sea biome|marine biome|subtropical environment|marine ecosystem|subtropical biome|mediterranean biome,marine water body,marine water body
ENVO_01000174,forest biome,,,A forest ecosystem which is undergoing climactic ecological succession.,,,,,,,,ENVO_01001243; ENVO_00000446,,,,terrestrial biome|forest biome|terrestrial ecosystem|forest ecosystem,forest ecosystem|forest canopy|terrestrial ecosystem|canopy,
ENVO_01000175,woodland biome,,Preliminary definition.,"A woodland biome is a terrestrial biome which includes, across its entire spatial extent, woody plants spaced sufficiently far apart to allow light penetration to support communities of herbaceous plants or shrubs living closer to the woodland floor.",,,,,,,,ENVO_00000446,,,,terrestrial biome|terrestrial ecosystem|woodland biome,woodland area|terrestrial biome|vegetated area|terrestrial environmental zone|terrestrial ecosystem,
ENVO_01000176,shrubland biome,,Preliminary definition.,"A shrubland biome is a terrestrial biome which includes, across its entire spatial extent, dense groups of shrubs.",,,,,,,,ENVO_00000446,,,,terrestrial biome|terrestrial ecosystem|shrubland biome,,
ENVO_01000177,grassland biome,,,A grassland ecosystem in which dominant ecological communities have reached their climax successional state.,,,,,,,,ENVO_01001206; ENVO_00000446,,,,terrestrial biome|grassland ecosystem|terrestrial ecosystem|grassland biome,,
ENVO_01000178,savanna biome,,,"A woodland biome which has seasonal water availability and includes trees spaced sufficiently far apart to allow an unbroken layer of grass, sedge (Cyperaceae) or  rush (Juncaceae) communities to live.",,,,,,,,ENVO_01000175,,,,terrestrial biome|terrestrial ecosystem|woodland biome|savanna biome,woodland area|terrestrial biome|vegetated area|terrestrial environmental zone|terrestrial ecosystem,
ENVO_01000179,desert biome,,,A desert ecosystem which is undergoing climactic ecological succession.,,,,,,,wwfBiome,ENVO_00000428; ENVO_01001780,desert,,,desert ecosystem|desert biome,terrestrial biome|desert area|terrestrial environmental zone|desert|area of barren land|terrestrial ecosystem,desert
ENVO_01000180,tundra biome,,,A tundra ecosystem which is undergoing climactic ecological succession.,,,,,,,envoPolar; wwfBiome,ENVO_01001370; ENVO_00000446,,,,terrestrial biome|terrestrial ecosystem|tundra biome|tundra ecosystem,soil|clay|sand|particulate environmental material|organic material|mineral material|particle of sand|particle of silt|terrestrial biome|silt|particle|particle of clay|area of tundra|vegetated area|terrestrial environmental zone|tundra biome|pedosphere|tundra ecosystem|frozen land|frozen soil|terrestrial ecosystem,
ENVO_01000181,mangrove biome,,"Preliminary definition. Depending on whether mangrove trees or shrubs are present, this class could be a child of shrubland biome or woodland biome. Consider creating the appropriate classes.","A mangrove biome is a terrestrial biome which includes, across its spatial extent, mangrove plants (Rhizophoraceae). Mangrove plants are able to withstand high levels of salinity as well as regions of anoxia and frequent tidal inundation. Mangrove biomes often occur near tropical and sub-tropical estuaries and depositional marine coastal environments where fine sediments (often with high organic content) collect in areas protected from high energy wave action.",,,,,,,wwfBiome,ENVO_00000446,,,,terrestrial biome|terrestrial ecosystem|mangrove biome,soil|clay|sand|particulate environmental material|organic material|mineral material|particle of sand|particle of silt|silt|particle|particle of clay|mangrove swamp|coastal wetland ecosystem|sea coast|pedosphere|wetland ecosystem|coast|soil surface layer|soil layer,
ENVO_01000182,temperate desert biome,,"Preliminary definition. The semantics and definitions of ""mediterranean"", ""subtropical"", ""tropical"", ""temperate"", ""polar"", and similar climate types may be transferred to an ""environmental condition"" class once the semantics of this class have been established.","A temperate desert biome is a desert biome which has communities adapted to intermediate insolation, low rainfall, and large temperature variations between winter and summer. Winter temperatures may fall below 0 degrees Celsius. Some precipitation in this biome may fall as snow.",,,,,,,,ENVO_01000179; ENVO_01001831,desert,,temperate,temperate biome|temperate environment|desert ecosystem|desert biome|temperate desert biome,terrestrial biome|desert area|terrestrial environmental zone|desert|area of barren land|terrestrial ecosystem,desert
ENVO_01000183,tropical desert biome,,"Preliminary definition. The semantics and definitions of ""mediterranean"", ""subtropical"", ""tropical"", ""temperate"", ""polar"", and similar climate types may be transferred to an ""environmental condition"" class once the semantics of this class have been established.","A tropical desert biome is a desert biome which has communities adapted to temperatures above a monthly average of 18 degrees Celsius, high daily temperature ranges of approximately 20 degrees Celsius, very high insolation due to inhibited cloud formation, and very low precipitation. Tropical desert biomes located near coasts with cold upwellings may have cooler temperatures and reduced insolution due to fog.",,,,,,,,ENVO_01000179; ENVO_01001830,desert,,tropical,tropical environment|desert ecosystem|tropical biome|desert biome|tropical desert biome,terrestrial biome|desert area|terrestrial environmental zone|desert|area of barren land|terrestrial ecosystem,desert
ENVO_01000184,subtropical desert biome,,"Preliminary definition. The semantics and definitions of ""mediterranean"", ""subtropical"", ""tropical"", ""temperate"", ""polar"", and similar climate types may be transferred to an ""environmental condition"" class once the semantics of this class have been established.","A subtropical desert biome is a desert biome which has communities adapted to temperatures above a monthly average of 18 degrees Celsius, high daily temperature ranges of approximately 20 degrees Celsius, high insolation (but lower than that of a tropical desert biome), inhibited cloud formation, and very low precipitation. Subtropical desert biomes located near coasts with cold upwellings may have cooler temperatures and reduced insolution due to fog.",,,,,,,,ENVO_01000179; ENVO_01001832,desert,,subtropical,desert ecosystem|desert biome|subtropical desert biome|subtropical environment|subtropical biome,terrestrial biome|desert area|terrestrial environmental zone|desert|area of barren land|terrestrial ecosystem,desert
ENVO_01000185,montane desert biome,,Preliminary definition.,A montane desert biome is a desert biome which occurs in regions elevated above sea level and which has community structure determined by elevation-dependent environmental conditions.,,,,,,,,ENVO_01000179; ENVO_01001836,desert,,montane,desert ecosystem|desert biome|montane desert biome|montane biome,terrestrial biome|desert area|terrestrial environmental zone|desert|area of barren land|terrestrial ecosystem,desert
