ontology_class_slug	ontology_class_label	confidence	mixs_context_label	mixs_environment_label	comment
ENVO_01000175	woodland biome	0.9	env_broad_scale	PlantAssociated	[High confidence as woodland biomes are characterized by the presence of widely spaced trees and shrubs, which host plant-associated microbiomes, but may have lower plant diversity compared to dense forest biomes.]
ENVO_01000180	tundra biome	0.8	env_broad_scale	PlantAssociated	[High confidence as tundra biomes, despite having lower plant diversity and biomass compared to other biomes, still host unique plant-associated microbiomes adapted to the harsh conditions of these environments.]
ENVO_00000447	marine biome	0.95	env_broad_scale	Sediment	[Very high confidence as marine biomes, particularly in benthic zones, are characterized by the presence of sediments that host diverse microbial communities.]
ENVO_00000873	freshwater biome	0.95	env_broad_scale	Sediment	[Very high confidence as freshwater biomes, such as lakes and rivers, often have sediments that host distinct microbial communities.]
ENVO_01000020	estuarine biome	0.95	env_broad_scale	Sediment	[Very high confidence as estuarine biomes are characterized by the deposition of sediments from both rivers and the sea, creating unique habitats for microbial communities.]
ENVO_01000252	freshwater lake biome	0.9	env_broad_scale	Sediment	[High confidence as freshwater lake biomes often have well-developed sediment layers that host diverse microbial communities, but acknowledging that the Sediment package may be more focused on marine and estuarine sediments.]
ENVO_01000253	freshwater river biome	0.8	env_broad_scale	Sediment	[High confidence as freshwater river biomes often have sediment deposits that host microbial communities, but acknowledging that the Sediment package may be more focused on marine and estuarine sediments, and that river sediments may be more transient than those in lakes or marine environments.]
ENVO_00000446	terrestrial biome	0.9	env_broad_scale	Soil	[High confidence as soil is a key component of terrestrial biomes, but acknowledging the existence of soil-less terrestrial systems.]
ENVO_01000177	grassland biome	0.95	env_broad_scale	Soil	[Very high confidence due to the strong association between grasslands and well-developed soil ecosystems.]
ENVO_01000174	forest biome	0.95	env_broad_scale	Soil	[Very high confidence due to the prevalence of soil ecosystems in forest biomes, with a small allowance for soil-less forest types.]
ENVO_01000181	mangrove biome	0.9	env_broad_scale	Soil	[High confidence as mangrove biomes typically develop on sediment-rich soils, but acknowledging variations in substrate composition.]
ENVO_01000180	tundra biome	0.8	env_broad_scale	Soil	[High confidence due to the presence of soil ecosystems in tundra biomes, but acknowledging the influence of permafrost and soil-less areas.]
ENVO_01000179	desert biome	0.6	env_broad_scale	Soil	[Moderate confidence as desert soils are often less developed and more patchy compared to other terrestrial biomes.]
ENVO_00002030	aquatic biome	1.0	env_broad_scale	Water	[Exact match between aquatic biomes and water environments.]
ENVO_00000447	marine biome	1.0	env_broad_scale	Water	[Exact match between marine biomes and water environments.]
ENVO_00000873	freshwater biome	1.0	env_broad_scale	Water	[Exact match between freshwater biomes and water environments.]
ENVO_01000048	ocean biome	1.0	env_broad_scale	Water	[Exact match between ocean biomes and water environments.]
ENVO_01000252	freshwater lake biome	1.0	env_broad_scale	Water	[Exact match between freshwater lake biomes and water environments.]
ENVO_01000253	freshwater river biome	1.0	env_broad_scale	Water	[Exact match between freshwater river biomes and water environments.]
ENVO_03605008	freshwater stream biome	1.0	env_broad_scale	Water	[Exact match between freshwater stream biomes and water environments.]
ENVO_01000020	estuarine biome	0.9	env_broad_scale	WastewaterSludge	[High confidence as estuarine biomes can be impacted by wastewater and sludge discharge from human activities, potentially influencing the microbial communities in these environments.]
ENVO_01000178	savanna biome	0.8	env_broad_scale	SymbiontAssociated	[High confidence as savanna biomes can host a variety of symbiotic relationships between plants, animals, and microorganisms, potentially serving as a relevant environment for the SymbiontAssociated package.]
ENVO_01000020	estuarine biome	0.8	env_broad_scale	FoodFarmEnvironment	[High confidence as estuarine biomes can be impacted by agricultural runoff and other food farm-related activities, potentially influencing the microbial communities in these environments.]
