ontology_class_slug	ontology_class_label	mixs_context_label	mixs_environment_label	claude-3-opus-20240229|2024-05-07T11:45 EDT	claude-3-opus-20240229|2024-05-07T17:00 EDT	claude-3-opus-20240229|2024-05-07T18:40 EDT	claude-3-opus-20240229|2024-05-08T09:30 EDT	expand-subset|2024-05-09T16:48 EDT
ENVO_00000052	volcanic crater lake	env_local_scale	Water					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000020/lake @ 0.95
ENVO_00000054	saline marsh	env_local_scale	Soil				0.8|Saline marshes are wetland ecosystems with saline soils, providing important context for soil samples in terms of salt content and adapted vegetation.	
ENVO_00000054	saline marsh	env_local_scale	Water				0.8|Saline marshes are a specific type of wetland ecosystem characterized by saline water influence, providing important context for water samples in terms of salinity and adapted vegetation.	
ENVO_00000055	saline evaporation pond	env_local_scale	Water				0.7|Saline evaporation ponds are artificial hydrographic features used for salt production, providing a specific local environmental context for water samples in terms of high salinity and anthropogenic influence.	0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000033/pond @ 0.8
ENVO_00000057	mangrove swamp	env_local_scale	FoodFarmEnvironment				0.6|Mangrove swamps, as coastal wetland ecosystems, can provide a distinct local environmental context for food farm environments, particularly in tropical and subtropical regions where they may be adjacent to or integrated with agricultural systems.	
ENVO_00000058	underground lake	env_local_scale	Water					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000020/lake @ 0.95
ENVO_00000059	underground river	env_local_scale	Water					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000029/watercourse @ 0.9
ENVO_00000060	underground stream	env_local_scale	Water					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000029/watercourse @ 0.9
ENVO_00000062	populated place	env_local_scale	Soil				0.7|Populated places, such as villages or towns, can influence local soil properties through factors such as land use, waste disposal, and anthropogenic inputs.	
ENVO_00000064	road	env_local_scale	Air			0.7|Roads can influence the local air environment through vehicle emissions, dust generation, and effects on airflow, potentially impacting nearby air samples.		
ENVO_00000064	road	env_local_scale	BuiltEnvironment					0.5|Inferred from claude-3-opus-20240229 2024-05-07T18:40 EDT: ENVO_00000010/transport feature @ 0.7
ENVO_00000065	railway	env_local_scale	BuiltEnvironment					0.5|Inferred from claude-3-opus-20240229 2024-05-07T18:40 EDT: ENVO_00000010/transport feature @ 0.7
ENVO_00000067	cave	env_local_scale	MicrobialMatBiofilm				0.8|Caves in general can provide a wide range of environments suitable for the growth of microbial mats and biofilms, with various substrate types and environmental conditions.	
ENVO_00000067	cave	env_local_scale	Soil				0.7|Caves are natural underground voids that can contain unique soil environments influenced by factors such as limited weathering, organic inputs, and geochemical processes.	
ENVO_00000069	distributary	env_local_scale	Water					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000029/watercourse @ 0.9
ENVO_00000071	fault cave	env_local_scale	MicrobialMatBiofilm					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000067/cave @ 0.8
ENVO_00000071	fault cave	env_local_scale	Soil					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000067/cave @ 0.7
ENVO_00000072	aquaduct	env_local_scale	Water					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000029/watercourse @ 0.9
ENVO_00000073	building	env_local_scale	Air			0.8|Buildings create semi-contained local atmospheres that are relevant context for air samples, but may require more specificity.		
ENVO_00000073	building	env_local_scale	BuiltEnvironment			0.95|A building is a highly relevant local environmental context for built environment samples, providing the immediate surroundings and conditions.		
ENVO_00000073	building	env_local_scale	Soil				0.6|Buildings and their immediate surroundings can influence local soil properties through factors such as construction, landscaping, and human activities.	
ENVO_00000073	building	env_local_scale	Water				0.6|Buildings and their associated infrastructure, such as drainage systems and pipes, can influence local water environments and provide relevant context for some water samples.	
ENVO_00000074	dam	env_local_scale	Water				0.7|Dams are artificial structures that can significantly influence local water environments by altering flow regimes, creating reservoirs, and modifying water chemistry and ecology.	
ENVO_00000075	bridge	env_local_scale	BuiltEnvironment					0.5|Inferred from claude-3-opus-20240229 2024-05-07T18:40 EDT: ENVO_00000010/transport feature @ 0.7
ENVO_00000075	bridge	env_local_scale	Water				0.6|Bridges and their associated infrastructure can influence local water environments through factors such as runoff, shading, and physical disturbance, providing relevant context for some water samples.	
ENVO_00000077	agricultural ecosystem	env_local_scale	Agriculture			0.9|Agricultural ecosystems encompass the local environment and conditions in which agricultural activities take place.		
ENVO_00000077	agricultural ecosystem	env_local_scale	PlantAssociated				0.9|Agricultural ecosystems, characterized by the cultivation of crops and the management of soil and water resources, provide a distinct set of environmental conditions and plant-associated processes that are important for contextualizing samples collected in these environments.	
ENVO_00000078	farm	env_local_scale	Agriculture			0.9|A farm represents the localized environment where agricultural production occurs and is highly relevant for agricultural samples.		0.5|Inferred from claude-3-opus-20240229 2024-05-07T18:40 EDT: ENVO_00000077/agricultural ecosystem @ 0.9
ENVO_00000078	farm	env_local_scale	PlantAssociated					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000077/agricultural ecosystem @ 0.9
ENVO_00000078	farm	env_local_scale	Soil				0.9|A farm represents the localized environment where agricultural production occurs and is highly relevant for agricultural soil samples.	
ENVO_00000079	flume	env_local_scale	Water					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000029/watercourse @ 0.9
ENVO_00000081	man-made tunnel	env_local_scale	BuiltEnvironment				0.1|The ENVO term 'ENVO_00000081' is associated with the label 'mountain' in the input, not 'man-made tunnel'. This mismatch between the term and its label makes the mapping invalid.	
ENVO_00000083	hill	env_local_scale	Soil				0.8|Hills are elevated landforms that can influence local soil properties through factors such as slope, aspect, and erosion processes.	
ENVO_00000087	cliff	env_local_scale	Sediment					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00002000/slope @ 0.8
ENVO_00000087	cliff	env_local_scale	Soil				0.7|Cliffs are steep rock faces that can influence local soil properties through factors such as limited soil development and erosion processes.	
ENVO_00000088	sea cliff	env_local_scale	Sediment					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00002000/slope @ 0.8
ENVO_00000088	sea cliff	env_local_scale	Soil					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000087/cliff @ 0.7
ENVO_00000089	inland cliff	env_local_scale	Sediment					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00002000/slope @ 0.8
ENVO_00000089	inland cliff	env_local_scale	Soil					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000087/cliff @ 0.7
ENVO_00000091	beach	env_local_scale	Sediment				0.9|Beaches are coastal sedimentary environments characterized by the accumulation of sediment along the shoreline, with distinct sediment composition, grain size, and depositional patterns that provide important context for sediment samples.	
ENVO_00000092	sea beach	env_local_scale	Sediment					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000091/beach @ 0.9
ENVO_00000093	lacustrine beach	env_local_scale	Sediment					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000091/beach @ 0.9
ENVO_00000097	desert area	env_local_scale	MiscellaneousNaturalOrArtificialEnvironment				0.9|Desert areas are characterized by low precipitation and can have distinct soil properties, microbial communities, and ecological dynamics, providing important local environmental context for samples collected in these environments.	
ENVO_00000097	desert area	env_local_scale	Soil				0.8|Desert areas are characterized by low precipitation and can have distinct soil properties such as high salt content, low organic matter, and specialized microbial communities.	
ENVO_00000100	valley	env_local_scale	Soil				0.8|Valleys are low-lying areas between hills or mountains that can influence soil properties through factors such as alluvial deposition and local microclimate effects.	
ENVO_00000101	delta	env_local_scale	Sediment				0.9|Deltas are sedimentary environments formed by the deposition of sediment at the mouth of a river, characterized by distinct sediment composition, grain size, and depositional patterns that provide important context for sediment samples.	0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000386/river mouth @ 0.9
ENVO_00000101	delta	env_local_scale	Water					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000029/watercourse @ 0.9
ENVO_00000104	undersea feature	env_local_scale	Water				0.8|Undersea features, such as seamounts, hydrothermal vents, and submarine canyons, can provide important local environmental context for water samples collected in marine settings.	0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000012/hydrographic feature @ 0.9
ENVO_00000106	grassland area	env_local_scale	MiscellaneousNaturalOrArtificialEnvironment				0.9|Grassland areas, characterized by the dominance of grasses and herbaceous vegetation, have distinct soil properties, biodiversity patterns, and ecological processes that provide important context for samples collected in these environments.	
ENVO_00000108	meadow ecosystem	env_local_scale	Soil				0.8|Meadow ecosystems are characterized by herbaceous vegetation and can have soil properties influenced by factors such as high organic matter content and diverse plant communities.	
ENVO_00000109	woodland area	env_local_scale	MiscellaneousNaturalOrArtificialEnvironment				0.9|Woodland areas, characterized by open canopies and a mixture of trees and grasslands, provide a distinct set of environmental conditions and ecological processes that are important for contextualizing samples collected in these environments.	
ENVO_00000110	lava tunnel	env_local_scale	MicrobialMatBiofilm					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000067/cave @ 0.8
ENVO_00000110	lava tunnel	env_local_scale	Soil					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000067/cave @ 0.7
ENVO_00000111	forested area	env_local_scale	MiscellaneousNaturalOrArtificialEnvironment				0.9|Forested areas, characterized by dense tree cover and complex ecological interactions, provide a unique set of environmental conditions and processes that are important for contextualizing samples collected in these environments.	0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000109/woodland area @ 0.9
ENVO_00000111	forested area	env_local_scale	Soil				0.9|Forested areas have unique soil properties influenced by the presence of trees, such as litter inputs and root dynamics, providing important context for soil samples collected in these environments.	
ENVO_00000112	area of tundra	env_local_scale	MiscellaneousNaturalOrArtificialEnvironment				0.9|Tundra areas, characterized by low temperatures, permafrost, and low-growing vegetation, have distinct soil properties, microbial communities, and ecological processes that provide important context for samples collected in these environments.	
ENVO_00000114	agricultural field	env_local_scale	Agriculture			0.95|An agricultural field is a highly relevant and specific local environmental context for agriculture-related samples.		
ENVO_00000114	agricultural field	env_local_scale	PlantAssociated				0.9|Agricultural fields, as areas used for the cultivation of crops, have distinct soil properties, management practices, and plant-associated microbial communities that provide important context for samples collected in these environments.	
ENVO_00000114	agricultural field	env_local_scale	Soil				0.95|An agricultural field provides a highly relevant and specific local environmental context for soil samples, as soil properties are heavily influenced by agricultural practices.	
ENVO_00000115	orchard	env_local_scale	Agriculture			0.95|Orchards are specific localized agricultural environments focused on fruit production and are highly relevant for agricultural samples from these sites.		0.5|Inferred from claude-3-opus-20240229 2024-05-07T18:40 EDT: ENVO_00000117/plantation @ 0.8
ENVO_00000115	orchard	env_local_scale	PlantAssociated				0.8|Orchards, as areas used for the cultivation of fruit trees, have distinct soil properties, management practices, and plant-associated microbial communities that provide important context for samples collected in these environments.	0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000117/plantation @ 0.8
ENVO_00000115	orchard	env_local_scale	Soil				0.85|Orchards are agricultural sites used for fruit production and can provide relevant local context for soil samples in terms of tree cultivation practices.	0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000078/farm @ 0.9
ENVO_00000116	vineyard	env_local_scale	Agriculture			0.95|Vineyards are distinct localized agricultural environments dedicated to grape production for wine making and are important contexts for related agricultural samples.		0.5|Inferred from claude-3-opus-20240229 2024-05-07T18:40 EDT: ENVO_00000117/plantation @ 0.8
ENVO_00000116	vineyard	env_local_scale	PlantAssociated				0.8|Vineyards, as areas used for the cultivation of grapevines, have distinct soil properties, management practices, and plant-associated microbial communities that provide important context for samples collected in these environments.	0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000117/plantation @ 0.8
ENVO_00000116	vineyard	env_local_scale	Soil				0.85|Vineyards are agricultural sites used for grape production and can provide relevant local context for soil samples in terms of vine cultivation practices.	0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000078/farm @ 0.9
ENVO_00000117	plantation	env_local_scale	Agriculture			0.8|Plantations are large-scale agricultural sites that can provide relevant local environmental context for agricultural samples, but may require more specificity.		0.5|Inferred from claude-3-opus-20240229 2024-05-07T18:40 EDT: ENVO_00000078/farm @ 0.9
ENVO_00000117	plantation	env_local_scale	PlantAssociated				0.8|Plantations, as large-scale agricultural areas used for the cultivation of crops such as coffee, rubber, or palm oil, have distinct soil properties, management practices, and plant-associated microbial communities that provide important context for samples collected in these environments.	0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000077/agricultural ecosystem @ 0.9
ENVO_00000117	plantation	env_local_scale	Soil					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000078/farm @ 0.9
ENVO_00000118	coconut plantation	env_local_scale	Agriculture					0.5|Inferred from claude-3-opus-20240229 2024-05-07T18:40 EDT: ENVO_00000117/plantation @ 0.8
ENVO_00000118	coconut plantation	env_local_scale	PlantAssociated					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000117/plantation @ 0.8
ENVO_00000118	coconut plantation	env_local_scale	Soil					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000078/farm @ 0.9
ENVO_00000120	oil palm plantation	env_local_scale	Agriculture					0.5|Inferred from claude-3-opus-20240229 2024-05-07T18:40 EDT: ENVO_00000117/plantation @ 0.8
ENVO_00000120	oil palm plantation	env_local_scale	PlantAssociated					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000117/plantation @ 0.8
ENVO_00000120	oil palm plantation	env_local_scale	Soil					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000078/farm @ 0.9
ENVO_00000122	track	env_local_scale	Air					0.5|Inferred from claude-3-opus-20240229 2024-05-07T18:40 EDT: ENVO_00000064/road @ 0.7
ENVO_00000122	track	env_local_scale	BuiltEnvironment					0.5|Inferred from claude-3-opus-20240229 2024-05-07T18:40 EDT: ENVO_00000010/transport feature @ 0.7
ENVO_00000125	mineral spring	env_local_scale	Water					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000027/spring @ 0.8
ENVO_00000126	sulfur spring	env_local_scale	Water					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000027/spring @ 0.8
ENVO_00000128	dry valley	env_local_scale	Soil					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000100/valley @ 0.8
ENVO_00000129	stream valley	env_local_scale	Soil					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000100/valley @ 0.8
ENVO_00000130	rocky reef	env_local_scale	Water					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000012/hydrographic feature @ 0.9
ENVO_00000137	coastal inlet	env_local_scale	Water					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000012/hydrographic feature @ 0.9
ENVO_00000138	cove	env_local_scale	Water					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000012/hydrographic feature @ 0.9
ENVO_00000141	bank	env_local_scale	Sediment					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00002000/slope @ 0.8
ENVO_00000142	stream bank	env_local_scale	Sediment					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00002000/slope @ 0.8
ENVO_00000143	river bank	env_local_scale	Sediment					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00002000/slope @ 0.8
ENVO_00000149	artificial reef	env_local_scale	Water					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000012/hydrographic feature @ 0.9
ENVO_00000150	coral reef	env_local_scale	Water					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000012/hydrographic feature @ 0.9
ENVO_00000152	anabranch	env_local_scale	Water					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000029/watercourse @ 0.9
ENVO_00000154	flood meadow ecosystem	env_local_scale	Soil					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000108/meadow ecosystem @ 0.8
ENVO_00000155	cirque	env_local_scale	Soil					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000100/valley @ 0.8
ENVO_00000158	causeway	env_local_scale	BuiltEnvironment					0.5|Inferred from claude-3-opus-20240229 2024-05-07T18:40 EDT: ENVO_00000010/transport feature @ 0.7
ENVO_00000159	sugar plantation	env_local_scale	Agriculture					0.5|Inferred from claude-3-opus-20240229 2024-05-07T18:40 EDT: ENVO_00000117/plantation @ 0.8
ENVO_00000159	sugar plantation	env_local_scale	PlantAssociated					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000117/plantation @ 0.8
ENVO_00000159	sugar plantation	env_local_scale	Soil					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000078/farm @ 0.9
ENVO_00000160	sisal plantation	env_local_scale	Agriculture					0.5|Inferred from claude-3-opus-20240229 2024-05-07T18:40 EDT: ENVO_00000117/plantation @ 0.8
ENVO_00000160	sisal plantation	env_local_scale	PlantAssociated					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000117/plantation @ 0.8
ENVO_00000160	sisal plantation	env_local_scale	Soil					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000078/farm @ 0.9
ENVO_00000161	banana plantation	env_local_scale	Agriculture					0.5|Inferred from claude-3-opus-20240229 2024-05-07T18:40 EDT: ENVO_00000117/plantation @ 0.8
ENVO_00000161	banana plantation	env_local_scale	PlantAssociated					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000117/plantation @ 0.8
ENVO_00000161	banana plantation	env_local_scale	Soil					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000078/farm @ 0.9
ENVO_00000162	tea plantation	env_local_scale	Agriculture					0.5|Inferred from claude-3-opus-20240229 2024-05-07T18:40 EDT: ENVO_00000117/plantation @ 0.8
ENVO_00000162	tea plantation	env_local_scale	PlantAssociated					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000117/plantation @ 0.8
ENVO_00000162	tea plantation	env_local_scale	Soil					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000078/farm @ 0.9
ENVO_00000163	coffee plantation	env_local_scale	Agriculture					0.5|Inferred from claude-3-opus-20240229 2024-05-07T18:40 EDT: ENVO_00000117/plantation @ 0.8
ENVO_00000163	coffee plantation	env_local_scale	PlantAssociated					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000117/plantation @ 0.8
ENVO_00000163	coffee plantation	env_local_scale	Soil					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000078/farm @ 0.9
ENVO_00000164	rubber plantation	env_local_scale	Agriculture					0.5|Inferred from claude-3-opus-20240229 2024-05-07T18:40 EDT: ENVO_00000117/plantation @ 0.8
ENVO_00000164	rubber plantation	env_local_scale	PlantAssociated					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000117/plantation @ 0.8
ENVO_00000164	rubber plantation	env_local_scale	Soil					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000078/farm @ 0.9
ENVO_00000165	asphalt lake	env_local_scale	Water					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000020/lake @ 0.95
ENVO_00000167	bar	env_local_scale	Water					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000012/hydrographic feature @ 0.9
ENVO_00000168	blowhole	env_local_scale	Water					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000012/hydrographic feature @ 0.9
ENVO_00000169	canyon	env_local_scale	Soil					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000100/valley @ 0.8
